Team,League
Aachen,bundesliga
Augsburg,bundesliga
Bayern Munich,bundesliga
Bielefeld,bundesliga
Bochum,bundesliga
Braunschweig,bundesliga
Cottbus,bundesliga
Darmstadt,bundesliga
Dortmund,bundesliga
Dresden,bundesliga
Duisburg,bundesliga
Dusseldorf,bundesliga
Ein Frankfurt,bundesliga
FC Koln,bundesliga
Fortuna Dusseldorf,bundesliga
Freiburg,bundesliga
Greuther Furth,bundesliga
Hamburg,bundesliga
Hannover,bundesliga
Hansa Rostock,bundesliga
Heidenheim,bundesliga
Hertha,bundesliga
Hoffenheim,bundesliga
Holstein Kiel,bundesliga
Ingolstadt,bundesliga
Kaiserslautern,bundesliga
Karlsruhe,bundesliga
Leipzig,bundesliga
Leverkusen,bundesliga
M'Gladbach,bundesliga
M'gladbach,bundesliga
Mainz,bundesliga
Munich 1860,bundesliga
Nurnberg,bundesliga
Paderborn,bundesliga
RB Leipzig,bundesliga
Schalke 04,bundesliga
St Pauli,bundesliga
Stuttgart,bundesliga
Uerdingen,bundesliga
Ulm,bundesliga
Union Berlin,bundesliga
Unterhaching,bundesliga
Wattenscheid,bundesliga
Werder Bremen,bundesliga
Wolfsburg,bundesliga
Alaves,la-liga
Albacete,la-liga
Almeria,la-liga
Ath Bilbao,la-liga
Ath Madrid,la-liga
Barcelona,la-liga
Betis,la-liga
Cadiz,la-liga
Celta,la-liga
Compostela,la-liga
Cordoba,la-liga
Eibar,la-liga
Elche,la-liga
Espanol,la-liga
Extremadura,la-liga
Getafe,la-liga
Gimnastic,la-liga
Girona,la-liga
Granada,la-liga
Hercules,la-liga
Huesca,la-liga
La Coruna,la-liga
Las Palmas,la-liga
Leganes,la-liga
Lerida,la-liga
Levante,la-liga
Logrones,la-liga
Malaga,la-liga
Mallorca,la-liga
Merida,la-liga
Murcia,la-liga
Numancia,la-liga
Osasuna,la-liga
Oviedo,la-liga
Real Madrid,la-liga
Recreativo,la-liga
Salamanca,la-liga
Santander,la-liga
Sevilla,la-liga
Sociedad,la-liga
Sp Gijon,la-liga
Tenerife,la-liga
Valencia,la-liga
Valladolid,la-liga
Vallecano,la-liga
Villareal,la-liga
Villarreal,la-liga
Xerez,la-liga
Zaragoza,la-liga
Ajaccio,ligue-1
Ajaccio GFCO,ligue-1
Amiens,ligue-1
Angers,ligue-1
Arles,ligue-1
Auxerre,ligue-1
Bastia,ligue-1
Bordeaux,ligue-1
Boulogne,ligue-1
Brest,ligue-1
Caen,ligue-1
Cannes,ligue-1
Chateauroux,ligue-1
Clermont,ligue-1
Dijon,ligue-1
Evian Thonon Gaillard,ligue-1
Grenoble,ligue-1
Gueugnon,ligue-1
Guingamp,ligue-1
Istres,ligue-1
Le Havre,ligue-1
Le Mans,ligue-1
Lens,ligue-1
Lille,ligue-1
Lorient,ligue-1
Lyon,ligue-1
Marseille,ligue-1
Martigues,ligue-1
Metz,ligue-1
Monaco,ligue-1
Montpellier,ligue-1
Nancy,ligue-1
Nantes,ligue-1
Nice,ligue-1
Nimes,ligue-1
Paris FC,ligue-1
Paris SG,ligue-1
Reims,ligue-1
Rennes,ligue-1
Sedan,ligue-1
Sochaux,ligue-1
St Etienne,ligue-1
Strasbourg,ligue-1
Toulouse,ligue-1
Troyes,ligue-1
Valenciennes,ligue-1
Arsenal,premier-league
Aston Villa,premier-league
Barnsley,premier-league
Birmingham,premier-league
Blackburn,premier-league
Blackpool,premier-league
Bolton,premier-league
Bournemouth,premier-league
Bradford,premier-league
Brentford,premier-league
Brighton,premier-league
Burnley,premier-league
Cardiff,premier-league
Charlton,premier-league
Chelsea,premier-league
Coventry,premier-league
Crystal Palace,premier-league
Derby,premier-league
Everton,premier-league
Fulham,premier-league
Huddersfield,premier-league
Hull,premier-league
Ipswich,premier-league
Leeds,premier-league
Leicester,premier-league
Liverpool,premier-league
Luton,premier-league
Man City,premier-league
Man United,premier-league
Middlesbrough,premier-league
Newcastle,premier-league
Norwich,premier-league
Nott'm Forest,premier-league
Oldham,premier-league
Portsmouth,premier-league
QPR,premier-league
Reading,premier-league
Sheffield United,premier-league
Sheffield Weds,premier-league
Southampton,premier-league
Stoke,premier-league
Sunderland,premier-league
Swansea,premier-league
Swindon,premier-league
Tottenham,premier-league
Watford,premier-league
West Brom,premier-league
West Ham,premier-league
Wigan,premier-league
Wimbledon,premier-league
Wolves,premier-league
Ancona,serie-a
Ascoli,serie-a
Atalanta,serie-a
Bari,serie-a
Benevento,serie-a
Bologna,serie-a
Brescia,serie-a
Cagliari,serie-a
Carpi,serie-a
Catania,serie-a
Cesena,serie-a
Chievo,serie-a
Como,serie-a
Cremonese,serie-a
Crotone,serie-a
Empoli,serie-a
Fiorentina,serie-a
Foggia,serie-a
Frosinone,serie-a
Genoa,serie-a
Inter,serie-a
Juventus,serie-a
Lazio,serie-a
Lecce,serie-a
Livorno,serie-a
Messina,serie-a
Milan,serie-a
Modena,serie-a
Monza,serie-a
Napoli,serie-a
Novara,serie-a
Padova,serie-a
Palermo,serie-a
Parma,serie-a
Perugia,serie-a
Pescara,serie-a
Piacenza,serie-a
Pisa,serie-a
Reggiana,serie-a
Reggina,serie-a
Roma,serie-a
Salernitana,serie-a
Sampdoria,serie-a
Sassuolo,serie-a
Siena,serie-a
Spal,serie-a
Spezia,serie-a
Torino,serie-a
Treviso,serie-a
Udinese,serie-a
Venezia,serie-a
Verona,serie-a
Vicenza,serie-a
